Optimizer Name|Mean_Training_Loss_epoch1|Std_Training_Loss_epoch1
SimpleSGD|1.6687315853018512|0.009247698680329895
SimpleSGDCurvature|1.2042156600638438|0.0074073481107319586
Adam|0.9529553436919262|0.02723134734267858
AdamCurvature|1.0220953031982245|0.02341700204060701
HeavyBall|1.0683014463045095|0.004449363993779614
HeavyBallCurvature|1.0451009999764593|0.005296115752895315
NAG|1.0420776069948547|0.002124272592765929
NAGCurvature|1.0654805444180966|0.02616490524661286
Adagrad|0.7665867857635021|0.007122844072859644
AdagradCurvature|0.8094194787505427|0.0005792641231349377
Adadelta|1.8027414655999134|0.04860635503633697
AdadeltaCurvature|1.4190833848557973|0.023604685561690524
RMSProp|1.1519635044038297|0.02040166831869116
RMSPropCurvature|1.1560863859559358|0.0006503707921904504
RMSPropMomentum|1.1527603987016175|0.003450981737816802
RMSPropMomentumCurvature|1.1445837583588927|0.058123166058200955
AdamW|0.9195444082743244|0.015080943298232494
AdamWCurvature|1.0388915565845214|0.045784049610459815
NAdam|1.1046494824713782|0.06185449288270064
NAdamCurvature|1.108656221824257|0.021073235759212768
NAdamW|1.0908553734029596|0.004481272485485084
NAdamWCurvature|1.1074069748191457|0.018179656296926278
AMSGrad|0.9467471212540803|0.028409585950849428
AMSGradCurvature|1.0664356619511781|0.03550290488083059
